time_ms,x,y,target_x,target_y,target_w,start_flag,end_flag
1088,2142.0,581.0,2495.0,591.0,40.0,0,0
1104,2160.0,582.0,2495.0,591.0,40.0,0,0
1120,2178.0,583.0,2495.0,591.0,40.0,0,0
1135,2194.0,584.0,2495.0,591.0,40.0,0,0
1150,2208.0,585.0,2495.0,591.0,40.0,0,0
1166,2226.0,586.0,2495.0,591.0,40.0,0,0
1181,2243.0,587.0,2495.0,591.0,40.0,0,0
1197,2261.0,587.0,2495.0,591.0,40.0,0,0
1213,2276.0,587.0,2495.0,591.0,40.0,0,0
1228,2287.0,587.0,2495.0,591.0,40.0,0,0
1242,2298.0,587.0,2495.0,591.0,40.0,0,0
1258,2311.0,588.0,2495.0,591.0,40.0,0,0
1274,2326.0,589.0,2495.0,591.0,40.0,0,0
1290,2340.0,590.0,2495.0,591.0,40.0,0,0
1305,2353.0,590.0,2495.0,591.0,40.0,0,0
1321,2364.0,590.0,2495.0,591.0,40.0,0,0
1337,2375.0,590.0,2495.0,591.0,40.0,0,0
1352,2386.0,590.0,2495.0,591.0,40.0,0,0
1367,2395.0,591.0,2495.0,591.0,40.0,0,0
1382,2405.0,591.0,2495.0,591.0,40.0,0,0
1398,2415.0,591.0,2495.0,591.0,40.0,0,0
1413,2423.0,591.0,2495.0,591.0,40.0,0,0
1428,2431.0,591.0,2495.0,591.0,40.0,0,0
1444,2442.0,591.0,2495.0,591.0,40.0,0,0
1460,2452.0,591.0,2495.0,591.0,40.0,0,0
1476,2458.0,591.0,2495.0,591.0,40.0,0,0
1491,2463.0,591.0,2495.0,591.0,40.0,0,0
1506,2466.0,591.0,2495.0,591.0,40.0,0,0
1522,2470.0,591.0,2495.0,591.0,40.0,0,0
1537,2475.0,591.0,2495.0,591.0,40.0,0,0
1552,2479.0,591.0,2495.0,591.0,40.0,0,0
1567,2481.0,591.0,2495.0,591.0,40.0,0,0
1583,2481.0,591.0,2495.0,591.0,40.0,0,0
1599,2482.0,591.0,2495.0,591.0,40.0,0,0
1614,2483.0,591.0,2495.0,591.0,40.0,0,0
1630,2483.0,591.0,2495.0,591.0,40.0,0,0
1645,2483.0,591.0,2495.0,591.0,40.0,0,0
1660,2483.0,591.0,2495.0,591.0,40.0,0,0
1675,2483.0,591.0,2495.0,591.0,40.0,0,0
1691,2483.0,591.0,2495.0,591.0,40.0,0,0
1706,2483.0,591.0,2495.0,591.0,40.0,0,0
1721,2483.0,591.0,2495.0,591.0,40.0,0,0
1738,2483.0,591.0,2495.0,591.0,40.0,0,0
1753,2485.0,591.0,2495.0,591.0,40.0,0,0
1769,2487.0,591.0,2495.0,591.0,40.0,0,0
1785,2491.0,591.0,2495.0,591.0,40.0,0,0
1800,2494.0,591.0,2495.0,591.0,40.0,0,0
1815,2495.0,591.0,2495.0,591.0,40.0,0,0
1831,2495.0,591.0,2495.0,591.0,40.0,0,0
1846,2495.0,591.0,2495.0,591.0,40.0,0,0
1861,2495.0,591.0,2495.0,591.0,40.0,0,0
1877,2495.0,591.0,2495.0,591.0,40.0,0,0
1892,2495.0,591.0,2495.0,591.0,40.0,0,0
1908,2495.0,591.0,2495.0,591.0,40.0,0,0
1924,2495.0,591.0,2495.0,591.0,40.0,0,0
1940,2495.0,591.0,2495.0,591.0,40.0,0,0
1955,2495.0,591.0,2495.0,591.0,40.0,0,0
1971,2495.0,591.0,2495.0,591.0,40.0,0,0
1986,2495.0,591.0,2495.0,591.0,40.0,0,0
2001,2495.0,591.0,2495.0,591.0,40.0,0,0
2017,2495.0,591.0,2495.0,591.0,40.0,0,1
3,392.0,783.0,2403.0,787.0,40.0,1,0
19,392.0,783.0,2403.0,787.0,40.0,0,0
34,392.0,783.0,2403.0,787.0,40.0,0,0
50,392.0,783.0,2403.0,787.0,40.0,0,0
65,392.0,783.0,2403.0,787.0,40.0,0,0
80,392.0,783.0,2403.0,787.0,40.0,0,0
96,392.0,783.0,2403.0,787.0,40.0,0,0
111,392.0,783.0,2403.0,787.0,40.0,0,0
126,392.0,783.0,2403.0,787.0,40.0,0,0
141,392.0,783.0,2403.0,787.0,40.0,0,0
